date,cases,deaths,recovered
2020-03-07,18,0,16
2020-03-08,30,0,16
2020-03-09,30,0,16
2020-03-10,31,0,16
2020-03-11,38,0,16
2020-03-12,39,0,16
2020-03-13,47,0,16
2020-03-14,53,0,16
2020-03-15,56,0,16
2020-03-16,61,0,16
2020-03-17,66,0,16
2020-03-18,75,0,16
2020-03-19,85,0,16
2020-03-20,91,0,16
2020-03-21,94,0,17
2020-03-22,113,0,17
2020-03-23,123,0,17
2020-03-24,134,0,17
2020-03-25,141,0,17
2020-03-26,153,0,20
2020-03-27,163,0,20
2020-03-28,174,0,21
2020-03-29,188,0,25
2020-03-30,203,0,55
2020-03-31,212,0,58
2020-04-01,218,0,63
2020-04-02,233,0,75
2020-04-03,237,0,85
2020-04-04,240,0,90
2020-04-05,241,0,90
2020-04-06,241,0,91
2020-04-07,245,0,95
